Region and country of last residence,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
REGION,,,,,,,,,,
Total,"1,016,520","1,051,030","1,183,510","1,127,170","1,096,610","1,031,770","707,360","740,000","1,018,350","1,172,910"
Africa,"94,830","98,680","110,750","116,670","112,750","110,050","76,790","64,980","82,120","96,620"
Asia,"419,380","405,850","442,850","404,370","383,150","352,590","260,710","283,900","377,940","392,140"
Europe,"86,940","89,980","97,240","88,960","84,680","89,810","69,340","60,740","69,150","81,690"
North America,"327,930","369,150","427,050","414,070","413,430","364,860","215,550","231,750","288,170","407,620"
Oceania,"5,980","6,230","6,490","5,990","5,390","6,190","4,750","4,720","4,980","5,930"
South America,"72,140","70,050","75,570","75,600","75,810","88,020","60,240","69,060","81,400","100,560"
Unknown,"9,320","11,090","23,550","21,510","21,410","20,240","20,000","24,850","114,600","88,350"
COUNTRY,,,,,,,,,,
Total,"1,016,520","1,051,030","1,183,510","1,127,170","1,096,610","1,031,770","707,360","740,000","1,018,350","1,172,910"
Afghanistan,"9,850","7,530","11,620","18,320","10,960","9,270","10,640","8,840","10,130","25,590"
Albania,"3,630","4,350","5,360","5,360","4,750","5,020","3,340","2,440","5,140","4,730"
Algeria,"1,580","1,660","2,630","2,080","2,070","2,230","1,530","1,810","2,920","4,950"
Angola,150,160,190,200,200,230,190,230,420,540
Anguilla,20,20,20,30,30,10,20,10,20,30
Antigua and Barbuda,400,320,370,370,370,380,220,230,330,320
Argentina,"3,760","3,540","3,780","3,190","2,860","3,750","2,900","3,150","3,390","4,560"
Armenia,"2,920","3,010","3,600","3,490","3,210","3,050","2,130","1,870","2,750","4,670"
Aruba,40,40,30,40,60,50,30,30,50,90
Australia,"3,580","3,800","4,170","3,820","3,390","3,820","2,840","3,050","2,930","3,810"
Austria,"1,090","1,930","1,620","1,960","2,290","1,200",420,410,400,500
Azerbaijan,510,510,560,710,880,"1,050",680,460,890,"1,070"
Bahamas,710,800,680,790,800,960,630,"1,050",620,870
Bahrain,170,200,200,220,230,310,210,250,280,420
Bangladesh,"14,340","13,210","18,200","14,250","15,410","14,890","9,010","6,180","10,140","18,240"
Barbados,420,400,380,410,350,360,240,300,310,320
Belarus,"2,020","1,990","2,080","1,890","1,920","2,250","1,690","1,390","1,950","2,360"
Belgium,780,810,820,740,630,770,650,650,550,760
Belize,820,800,880,750,640,820,500,690,490,620
Benin,510,490,570,650,580,610,450,450,690,670
Bermuda,140,150,140,120,100,110,70,110,100,130
Bhutan,120,90,190,130,80,100,60,70,160,190
Bolivia,"1,660","1,550","1,480","1,400","1,400","1,430",920,"1,050","1,340","1,370"
Bosnia and Herzegovina,590,770,860,750,620,580,430,440,390,350
Botswana,110,110,120,180,100,80,50,70,50,80
Brazil,"10,250","11,250","13,530","14,830","15,290","19,610","16,570","18,100","20,810","26,790"
Brunei,20,20,30,20,30,20,10,20,20,30
Bulgaria,"2,890","2,590","2,560","2,070","1,720","1,700","1,080",960,"1,020",870
Burkina Faso,640,610,700,580,570,680,460,530,720,780
Burma,"1,770","1,880","2,260","1,930","1,670","1,950","1,180",800,"2,550","3,700"
Burundi,180,290,410,"1,380",630,890,"1,750","1,210",690,720
Cabo Verde,"1,120","1,240","2,220","2,590","1,880","1,820",940,880,930,"1,610"
Cambodia,"2,470","1,780","2,980","3,920","3,060","2,590","1,500","1,700","3,050","2,300"
Cameroon,"3,830","4,250","4,730","4,510","4,110","4,260","2,550","3,110","5,170","5,410"
Canada,"17,670","19,310","19,350","18,470","14,340","14,720","11,300","12,050","13,920","18,590"
Cayman Islands,70,100,120,110,100,120,70,80,70,150
Central African Republic,80,50,70,70,40,40,30,50,130,110
Chad,130,300,200,370,620,380,190,160,140,230
